id,lat,lng,YO,MO,DO,TIME,DETAIL
0,-122.433061313,37.723638476,2008,7,15,54,Building_residential - Not_Offensive
1,-122.433376648,37.724260979,2008,7,15,34,Building_residential - Not_Offensive
2,-122.429912883,37.724251298,2008,7,31,5,Sidewalk_in_front_of_property - Not_Offensive
3,-122.433061313,37.723638476,2008,10,2,4,Building_commercial - Not_Offensive
4,-122.429912883,37.724251298,2008,10,8,25,Pole - Not_Offensive
5,-122.430736466,37.724603422,2008,10,8,25,Pole - Not_Offensive
6,-122.430957954,37.718752364,2008,10,23,9,Mail_box - Not_Offensive
7,-122.432477453,37.721599656,2008,11,3,49,Building_residential - Post_Abatement_Inspection
8,-122.433080151,37.71738199,2008,11,22,18,Building_residential - Not_Offensive
9,-122.430079802,37.718227255,2008,11,24,2,Building_residential - Post_Abatement_Inspection
10,-122.431577001,37.720816985,2008,11,26,317,Building_residential - Post_Abatement_Inspection
11,-122.431299436397,37.720837452167,2008,11,28,5,Building_commercial - Not_Offensive
12,-122.431299436397,37.720837452167,2008,12,1,16,Building_residential - Post_Abatement_Inspection
13,-122.432477453,37.721599656,2008,12,4,18,Building_residential - Post_Abatement_Inspection
14,-122.432282869,37.723226844,2008,12,9,241,Building_residential - Not_Offensive
15,-122.431970966134,37.721156728281,2008,12,12,1,Building_residential - Post_Abatement_Inspection
16,-122.431374433,37.718943591,2008,12,29,1,Building_residential - Post_Abatement_Inspection
17,-122.433061313,37.723638476,2008,12,31,220,Building_residential - Not_Offensive
18,-122.433737413111,37.724110492541,2009,1,14,17,Building_residential - Not_Offensive
19,-122.429599088358,37.7200904065534,2009,1,20,7,Pole - Not_Offensive
20,-122.430124255,37.718474302,2009,1,20,7,Pole - Not_Offensive
21,-122.433080151,37.71738199,2009,1,28,175,Building_other - Not_Offensive
22,-122.430957954,37.718752364,2009,2,6,13,Signal_box - Not_Offensive
23,-122.42971464,37.723275809,2009,2,6,32,Pole - Not_Offensive
24,-122.430026261039,37.7223979861424,2009,2,6,32,Pole - Not_Offensive
25,-122.430026261039,37.7223979861424,2009,2,6,32,Pole - Not_Offensive
26,-122.430832732,37.722784464,2009,2,6,32,Pole - Not_Offensive
27,-122.430832732,37.722784464,2009,2,6,32,Pole - Not_Offensive
28,-122.431049764,37.72315147,2009,2,6,5,Pole - Not_Offensive
29,-122.431633236738,37.7231671628729,2009,2,6,32,Pole - Not_Offensive
30,-122.43177462,37.723497513,2009,2,6,8,Pole - Not_Offensive
31,-122.432145804,37.723674647,2009,2,6,4,Pole - Not_Offensive
32,-122.432432013241,37.723549622914,2009,2,6,32,Pole - Not_Offensive
33,-122.432579805,37.723873549,2009,2,6,8,Pole - Not_Offensive
34,-122.432934211,37.723538375,2009,2,6,772,Pole - Not_Offensive
35,-122.433231497,37.723932354,2009,2,6,772,Pole - Not_Offensive
36,-122.433231497,37.723932354,2009,2,6,772,Pole - Not_Offensive
37,-122.433376648,37.724260979,2009,2,6,772,Pole - Not_Offensive
38,-122.433736087,37.723919951,2009,2,6,772,Pole - Not_Offensive
39,-122.430832732,37.722784464,2009,2,7,31,Pole - Not_Offensive
40,-122.430026261039,37.7223979861424,2009,2,7,31,Pole - Not_Offensive
41,-122.430974494,37.723116169,2009,2,7,4,Pole - Not_Offensive
42,-122.431633236738,37.7231671628729,2009,2,7,4,Pole - Not_Offensive
43,-122.431633236738,37.7231671628729,2009,2,7,13,Pole - Not_Offensive
44,-122.432145804,37.723674647,2009,2,7,2,Pole - Not_Offensive
45,-122.43286066,37.723502773,2009,2,7,771,Pole - Not_Offensive
46,-122.432942472,37.723922538,2009,2,7,771,Pole - Not_Offensive
47,-122.433736087,37.723919951,2009,2,7,771,Pole - Not_Offensive
48,-122.430832732,37.722784464,2009,2,7,14,Sidewalk_in_front_of_property - Not_Offensive
49,-122.430974494,37.723116169,2009,2,7,56,Building_residential - Not_Offensive
50,-122.431633236738,37.7231671628729,2009,2,7,7,Building_residential - Not_Offensive
51,-122.433231497,37.723932354,2009,2,7,1,Building_residential - Not_Offensive
52,-122.432432013241,37.723549622914,2009,2,7,2,Pole - Not_Offensive
53,-122.432145804,37.723674647,2009,2,7,2,Pole - Not_Offensive
54,-122.431272124,37.723257702,2009,2,7,32,Sidewalk_in_front_of_property - Not_Offensive
55,-122.431049764,37.72315147,2009,2,7,7,Sidewalk_in_front_of_property - Not_Offensive
56,-122.431049764,37.72315147,2009,2,7,32,Sidewalk_in_front_of_property - Not_Offensive
57,-122.429599088358,37.7200904065534,2009,2,11,8,Pole - Not_Offensive
58,-122.430974494,37.723116169,2009,3,2,390,Building_residential - Post_Abatement_Inspection
59,-122.431229129,37.718874553,2009,4,20,40,Signal_box - Not_Offensive
60,-122.429652443,37.724343467,2009,4,27,33,Pole - Not_Offensive
61,-122.429652443,37.724343467,2009,4,27,33,Pole - Not_Offensive
62,-122.430825697,37.723245792,2009,4,27,33,Pole - Not_Offensive
63,-122.430832732,37.722784464,2009,4,27,33,Pole - Not_Offensive
64,-122.430832732,37.722784464,2009,4,27,33,Pole - Not_Offensive
65,-122.431337882402,37.722961739653,2009,4,27,33,Pole - Not_Offensive
66,-122.431633236738,37.7231671628729,2009,4,27,33,Pole - Not_Offensive
67,-122.432690134,37.723461619,2009,4,27,33,Pole - Not_Offensive
68,-122.433231497,37.723932354,2009,4,27,33,Pole - Not_Offensive
69,-122.433009475,37.7235734,2009,4,27,33,Pole - Not_Offensive
70,-122.429652443,37.724343467,2009,4,27,33,Pole - Not_Offensive
71,-122.430782263,37.723304464,2009,4,27,11,Pole - Not_Offensive
72,-122.430832732,37.722784464,2009,4,27,8,Pole - Not_Offensive
73,-122.431633236738,37.7231671628729,2009,4,27,8,Pole - Not_Offensive
74,-122.431633236738,37.7231671628729,2009,4,27,5,Pole - Not_Offensive
75,-122.431633236738,37.7231671628729,2009,4,27,8,Pole - Not_Offensive
76,-122.432432013241,37.723549622914,2009,4,27,5,Pole - Not_Offensive
