id,lat,lng,YO,MO,DO,TIME,DETAIL
0,-122.44831643,37.76996549,2008,7,10,8,Sidewalk_in_front_of_property - Not_Offensive
1,-122.448389638603,37.7688646688509,2008,7,10,1,Pole - Not_Offensive
2,-122.449958075232,37.765800070469,2008,7,10,32,Sidewalk_structure - Not_Offensive
3,-122.449883532,37.769221804,2008,7,25,65,Building_residential - Offensive
4,-122.448150632,37.769053501,2008,7,28,22,Building_residential - Not_Offensive
5,-122.448578838049,37.7697979719542,2008,7,29,40,Building_other - Not_Offensive
6,-122.450673365,37.765037784,2008,7,30,4,Pole - Not_Offensive
7,-122.448483055811,37.769671148906,2008,7,31,1,Sidewalk_in_front_of_property - Offensive
8,-122.448179594,37.769432099,2008,7,31,6,Building_residential - Offensive
9,-122.448013206611,37.7670065445098,2008,8,6,5,Pole - Not_Offensive
10,-122.447951899,37.769590515,2008,8,7,118,Building_commercial - Not_Offensive
11,-122.448050335,37.769583394,2008,8,7,69,Building_commercial - Not_Offensive
12,-122.448173357,37.769656078,2008,8,7,118,Building_commercial - Not_Offensive
13,-122.448518490465,37.769749898201,2008,8,7,118,Building_commercial - Not_Offensive
14,-122.44831643,37.76996549,2008,8,7,24,Sidewalk_in_front_of_property - Offensive
15,-122.45083677,37.768822284,2008,8,7,53,Building_residential - Not_Offensive
16,-122.450850657,37.768889904,2008,8,7,2,Building_residential - Not_Offensive
17,-122.448483055811,37.769671148906,2008,8,9,4,Parking_meter - Not_Offensive
18,-122.448389638603,37.7688646688509,2008,8,10,29,Building_residential - Offensive
19,-122.448150632,37.769053501,2008,8,20,27,Building_residential - Not_Offensive
20,-122.450145787713,37.7667290012527,2008,9,2,7,City_receptacle - Offensive
21,-122.449883532,37.769221804,2008,9,3,27,Building_residential - Not_Offensive
22,-122.447199297969,37.7671106416186,2008,9,3,11,Sidewalk_in_front_of_property - Not_Offensive
23,-122.448960184,37.765683361,2008,9,15,5,Building_other - Not_Offensive
24,-122.450521724062,37.7685926218108,2008,9,16,1,Building_commercial - Offensive
25,-122.450521724062,37.7685926218108,2008,9,16,45,Building_commercial - Offensive
26,-122.45033023,37.765081919,2008,9,17,13,Pole - Not_Offensive
27,-122.45083677,37.768822284,2008,9,20,11,Building_residential - Post_Abatement_Inspection
28,-122.448844397,37.767337009,2008,10,6,3,Building_residential - Not_Offensive
29,-122.450145787713,37.7667290012527,2008,10,9,6,Building_residential - Offensive
30,-122.450850657,37.768889904,2008,10,10,150,Building_residential - Offensive
31,-122.448146036512,37.768840054441,2008,10,13,112,Building_residential - Offensive
32,-122.448150632,37.769053501,2008,10,13,32,Sidewalk_structure - Not_Offensive
33,-122.447637018,37.766621885,2008,10,17,16,Pole - Offensive
34,-122.448483055811,37.769671148906,2008,10,21,7,Parking_meter - Not_Offensive
35,-122.449433076,37.763199724,2008,10,23,18,Signal_box - Not_Offensive
36,-122.446994302855,37.7627222243096,2008,11,2,5,Other_enter_additional_details_below - Offensive
37,-122.446994302855,37.7627222243096,2008,11,2,5,Pole - Offensive
38,-122.450291575,37.765981907,2008,11,2,19,Building_residential - Offensive
39,-122.446968169,37.767969594,2008,11,7,4,Pole - Offensive
