id,lat,lng,YO,MO,DO,TIME,DETAIL
79,-122.419974854088,37.7601888876742,2008,8,29,10,Building_commercial - Offensive
80,-122.41836628,37.757307201,2008,9,2,7,Building_residential - Offensive
81,-122.4194735422,37.762301867618,2008,9,2,4,Parking_meter - Not_Offensive
82,-122.419703171,37.762448824,2008,9,2,4,Parking_meter - Not_Offensive
83,-122.419861600013,37.760140657933,2008,9,3,27,Building_commercial - Not_Offensive
84,-122.420704724,37.760034443,2008,9,3,6,Building_residential - Not_Offensive
85,-122.420388884,37.762338764,2008,9,4,5,Building_residential - Offensive
86,-122.419830202026,37.755422601131,2008,9,4,11,Building_commercial - Not_Offensive
87,-122.419974854088,37.7601888876742,2008,9,11,95,Building_commercial - Offensive
88,-122.416719570327,37.7571666921098,2008,9,11,51,Building_commercial - Not_Offensive
89,-122.418901070709,37.7570353263749,2008,9,15,16,Signal_box - Not_Offensive
90,-122.417584787,37.756988914,2008,9,18,34,Building_residential - Not_Offensive
91,-122.419279804819,37.761730582602,2008,9,22,13,Building_commercial - Not_Offensive
92,-122.419279627295,37.760279194335,2008,9,25,21,Signal_box - Not_Offensive
93,-122.420129007,37.761788944,2008,9,25,15,Signal_box - Not_Offensive
94,-122.419841366966,37.7585849358835,2008,9,27,4,Building_commercial - Not_Offensive
95,-122.420747906,37.760031817,2008,9,30,25,Building_other - Not_Offensive
96,-122.41915047254,37.760379630015,2008,10,1,11,Building_commercial - Not_Offensive
97,-122.41995251,37.758373823,2008,10,2,10,Building_commercial - Not_Offensive
98,-122.419841366966,37.7585849358835,2008,10,2,3,Signal_box - Not_Offensive
99,-122.419772683817,37.755199519468,2008,10,4,54,Sidewalk_in_front_of_property - Offensive
100,-122.420578745324,37.755264379883,2008,10,7,4,Building_residential - Not_Offensive
101,-122.419857821104,37.755365821445,2008,10,7,153,Building_commercial - Not_Offensive
102,-122.420578745324,37.755264379883,2008,10,10,1,Building_commercial - Post_Abatement_Inspection
103,-122.417584787,37.756988914,2008,10,11,11,Building_residential - Post_Abatement_Inspection
104,-122.420801763,37.759438428,2008,10,13,7,Building_residential - Not_Offensive
105,-122.418443782122,37.760226295575,2008,10,17,5,Building_residential - Post_Abatement_Inspection
106,-122.420762735,37.759936257,2008,10,22,3,Building_other - Not_Offensive
107,-122.419692046,37.760411613,2008,10,23,4,Building_other - Post_Abatement_Inspection
108,-122.419359315196,37.7618358043403,2008,10,24,24,Building_commercial - Not_Offensive
109,-122.420256972077,37.761726202467,2008,10,24,17,Pole - Not_Offensive
110,-122.419861600013,37.760140657933,2008,10,25,5,Building_other - Not_Offensive
111,-122.420704724,37.760034443,2008,10,30,93,Building_other - Offensive
112,-122.419861600013,37.760140657933,2008,10,30,32,Building_commercial - Not_Offensive
113,-122.420747906,37.760031817,2008,11,6,5,Building_other - Offensive
114,-122.418638619199,37.755024680602,2008,11,6,123,Building_commercial - Post_Abatement_Inspection
115,-122.419423659167,37.761783664122,2008,11,7,28,Building_residential - Not_Offensive
116,-122.419470488318,37.762270160269,2008,11,7,28,Building_commercial - Not_Offensive
117,-122.420747906,37.760031817,2008,11,10,4,Building_other - Not_Offensive
118,-122.419359315196,37.7618358043403,2008,11,17,1,Building_commercial - Post_Abatement_Inspection
119,-122.419279804819,37.761730582602,2008,11,19,76,Building_commercial - Offensive
120,-122.418916923819,37.755481169569,2008,11,19,257,Building_commercial - Offensive
121,-122.419292816849,37.761866339818,2008,11,19,2,Building_commercial - Offensive
122,-122.418603753,37.75725856,2008,11,20,109,Building_commercial - Not_Offensive
123,-122.419306709,37.758152501,2008,11,20,109,Building_commercial - Not_Offensive
